DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
20-11-1997;00:00:01;0;3891,2;3931,8;3888,9;3940,7
21-11-1997;00:00:01;0;3960,9;3941,9;3937,3;3986,4
24-11-1997;00:00:01;0;3919;3832,1;3821,9;3919
25-11-1997;00:00:01;0;3818,2;3850,1;3817;3873,7
26-11-1997;00:00:01;0;3880,2;3926,9;3878,1;3943,3
27-11-1997;00:00:01;0;3953,4;3962;3952,2;3978,9
28-11-1997;00:00:01;0;3966;3972,1;3941,5;3975,1
01-12-1997;00:00:01;0;4000;4125,9;4000;4137,9
02-12-1997;00:00:01;0;4140,3;4096,4;4073,4;4143,5
03-12-1997;00:00:01;0;4087,8;4074,6;4053,5;4117,3
04-12-1997;00:00:01;0;4089,4;4159,7;4089,4;4172,1
05-12-1997;00:00:01;0;4153,8;4191,8;4121,6;4196
08-12-1997;00:00:01;0;4217,3;4208,1;4194,1;4245,8
09-12-1997;00:00:01;0;4212,9;4187,1;4167,4;4226,5
10-12-1997;00:00:01;0;4174,1;4116,7;4140;4180,2
11-12-1997;00:00:01;0;4064,3;4016,7;4005,7;4064,3
12-12-1997;00:00:01;0;4051,5;4061,9;4034,4;4087,7
15-12-1997;00:00:01;0;4072,9;4029,1;4028,7;4091,7
16-12-1997;00:00:01;0;4063,3;4150,3;4053,8;4152,2
17-12-1997;00:00:01;0;4156,2;4154,6;4130;4194,8
18-12-1997;00:00:01;0;4140,8;4162,9;4140,8;4187,7
19-12-1997;00:00:01;0;4115,2;4055,4;4051,2;4131
22-12-1997;00:00:01;0;4074,5;4125,5;4035,1;4137,3
23-12-1997;00:00:01;0;4141,6;4132,8;4104,5;4147
29-12-1997;00:00:01;0;4142,7;4266;4142,6;4266
30-12-1997;00:00:01;0;4283,6;4224,3;4223;4320
02-01-1998;00:00:01;0;4270,7;4364,3;4270,7;4368
05-01-1998;00:00:01;0;4358;4417;4331,2;4420,9
06-01-1998;00:00:01;0;4427,3;4360,1;4345,8;4427,3
07-01-1998;00:00:01;0;4356,9;4340;4326,6;4396
08-01-1998;00:00:01;0;4359,4;4293,6;4274;4400,9
09-01-1998;00:00:01;0;4270,9;4237,8;4229,7;4300,4
12-01-1998;00:00:01;0;4145,1;4134,6;4053,9;4145,1
13-01-1998;00:00:01;0;4179,1;4150,1;4142,4;4209,5
14-01-1998;00:00:01;0;4198,2;4145,4;4142;4224,8
